Sample,Class,1-Methylhistidine,2-Hydroxybutyrate,Butyrate,Acetic acid,Betaine,Acetoacetate,L-Carnitine,Creatine,Dimethylamine,Dimethylglycine,Citric acid,Choline,Ethanol,D-Glucose,Glycine,Glycerol,Formate,L-Glutamic acid,Hypoxanthine,Tyrosine,L-Phenylalanine,L-Alanine,L-Proline,L-Threonine,L-Asparagine,D-Mannose,Isoleucine,L-Histidine,L-Lysine,L-Serine,L-Lactic acid,L-Aspartate,L-Acetylcarnitine,Oxoglutarate,L-Ornithine,Pyruvic acid,Succinate,Sarcosine,Urea,3-Hydroxybutyric acid,2-hydroxyisovalerate,L-Alpha-aminobutyric acid,3-Methyl-2-oxovaleric acid,L-arginine,Creatinine,L-Glutamine,L-Leucine,Malonate,Ketoleucine,Methionine,Hippuric acid,3-Hydroxyisovaleric acid,Isopropanol,Valine,Tryptophan,Acetone,Isobutyric acid,Methanol,Propylene glycol,Dimethyl sulfone
S1,Not_Pregnant,118.5,5,7.3,437.3,215,18.5,56.4,214.3,1.8,0.4,198.2,9,27,3597.7,660.3,181.8,40.4,67.7,5.2,61.3,37.1,181.9,65.7,91.1,44.3,33.2,54.5,69.9,162,102.1,1806.2,14.9,11.7,14.3,139.1,82,3.5,5.6,1317.5,389.2,0,16.9,0,163,72,209.8,82.4,9.8,0.2,31.4,41.9,1.9,5.2,165.5,0,7,12.4,141.8,9,141.2
S2,Not_Pregnant,109.4,68.9,26.6,776.4,200.7,37,34.2,181,1.5,0.4,176.1,6.3,12.2,3663.7,405.9,100.1,35.5,93.8,3.6,49.7,40.2,115.8,55.6,36.3,32.6,34.3,56.8,53.6,124.4,62.3,1470.6,21,17.9,23.8,109.8,61.3,2.8,14.8,1331.3,850.2,2.8,0,1.3,101.6,74.9,97.7,72.1,14.1,0.3,20.7,48.4,3.6,3.4,151.1,0.2,19.2,20.7,144.9,31.1,91.6
S3,Pregnant,110,5.2,3.9,92.2,406.7,10.3,43.9,281,1.4,2.7,129.8,11.4,18.2,4431.9,641,267.1,21.5,71.3,6.5,65.3,39.8,231.9,65.4,140.6,36.7,44,53.8,52.2,160.2,44.4,3234.5,24.8,11.5,17.3,160.3,108.5,15.8,103.4,2935.8,226.3,1.5,19.1,1.3,154.6,98,215.9,97.5,17.6,0.9,38.7,,2.9,5.4,166.1,0.8,3,10,134.1,0,23.4
S4,Pregnant,81.2,2.3,11.8,466.5,278.5,11.4,38.1,191.6,2.3,0.9,189.9,7.7,7.6,4546.4,450.7,193.2,27.7,91.8,8.5,68.1,37,207,80.2,116.9,45.3,52.7,60.1,67.6,180.8,68.5,3476.9,6,5.2,17,91,121.4,4.3,4.8,1163.9,288.4,1.3,0,0,194.8,93.9,252.3,101.6,11.7,0.1,40,26.6,2.9,8.2,196.7,0,6,11.3,236.8,0,59.7
S5,Not_Pregnant,111.2,19.5,19,443.7,193.1,16,28,176.6,2.9,0.7,211.1,4.8,12.4,2632.3,503.9,116,36.4,79.1,5.7,56.1,34.2,146.3,60.7,77.6,40.9,25.5,45.1,52.7,132.6,75.4,2825,11.1,8.6,20,107.6,63.3,2.7,100.6,1428.8,553.6,1,0,1.1,127,72,269.8,70.5,9.2,0.8,28.6,48,2.4,2.9,137.5,0,14.4,16.1,125.6,12.6,69.7
S6,Not_Pregnant,101.2,38.1,0,1246.6,178.3,37.6,16.7,158.7,3,0.3,216.8,5.3,41.2,2956.7,307.9,135.5,31.6,76.6,4.8,62.3,29.8,108.4,36.6,46.6,36.5,25,52.4,49.2,128.1,70.5,1802.6,11.9,11.8,20.4,112.9,50.9,1.7,47.4,1679,1024.5,3.8,0,0,99.7,66.1,347.4,62.3,8.2,1.3,24.6,36.6,3.6,3.1,114.2,0,25.5,39.8,136.8,67.1,80.1
S7,Pregnant,14,10.4,0,61.5,64.4,0.3,6.4,41.6,0.5,0.1,35.4,1.8,4.3,596.4,120.6,113.8,9.4,2.9,1.5,9.1,6.5,33.6,23.8,41.4,6.6,1.6,10.3,13.3,35.1,12.4,347.2,0,0.8,0.4,14.6,10.3,0.8,0.4,492,38,0,0,,17.9,19.6,50,14.8,1.5,,4.2,5,0.7,2.4,35.8,0,1.6,1.5,73.7,0,14.7
S8,Pregnant,54.4,10.4,0.3,56.5,152.3,14.7,29,183.6,0.9,1.8,36.5,4.5,7.4,2671.9,343.5,192.1,13.5,26,2.9,37.4,27.1,124.6,29.5,47.5,18.7,45.1,42.9,37.9,83.2,31.7,1737.5,3.3,11.3,13.5,60.6,60.7,1.8,2.6,2141.6,229.7,0.9,0,1.2,86.3,67.4,121.2,68.4,6.4,1,22.4,4.7,1.7,5.4,121.1,1,4.6,7.7,140.1,0,11.8
S9,Pregnant,128.2,10.1,2.7,106.5,427.6,11.3,47.3,220.2,1.1,2,152.2,9.7,14.3,3952.5,591.4,122.8,16.7,63.6,4,79.5,47.7,198,78.4,0,26.8,46.7,76.2,68.7,151.8,77.7,2533.6,24.4,14.8,15,109.8,82.9,14.9,4.3,2518.4,222.9,1.9,0,1.6,94,132.7,231.4,165,11.9,0.1,43.6,8.5,2.2,5.9,296.9,0,3.3,12.5,129.1,0,40.1
S10,Pregnant,100.6,7.4,6,106.7,242.3,8.1,32.2,263,1.2,0.9,85.8,8,7.1,3742.6,622.9,319.4,16,28.8,3.3,53.7,35.7,192.5,58.1,101.4,33.1,45.8,66.5,56.2,146.4,19.8,4255.5,15.6,11.1,11.8,116.8,105.7,11.1,4.4,2935.9,171,1.2,18.9,1.3,114.9,97.9,156.8,115.1,16.9,0.4,34.8,13,2.2,5.7,194.3,0,4.2,9.8,135.2,0,25.9
S11,Pregnant,88.9,12.9,3.3,166.9,339,9,35,222.6,1.1,0.9,175.3,10.2,8.8,4112.4,587.5,194,21.5,52.6,7,62.3,36.8,234.4,55.6,99.4,31.8,49.1,70.2,72.5,142.7,74.6,3859,6.4,11.4,15.1,117,111.5,2.4,4.4,1916.2,249.8,1.6,25.1,1.5,107.9,87,195.3,128.9,12.1,0,36.7,17.8,2.4,4.7,219.4,0.6,4.1,11.7,132.1,0,30.6
S12,Pregnant,9.8,11.6,10.8,314.4,281.9,7.7,49.9,244.7,1.1,0.8,238.7,11.5,11,3753.7,649.1,239.6,28.2,71.5,3.2,84.3,44.5,187.4,70.6,87.6,56.8,31.3,65.2,63.1,271.7,104.3,1436.4,0.8,6.4,18.1,131.6,64.6,3.7,6.2,1623,233.6,1.5,0,0,173.9,97.1,270.8,124.4,18.5,0.2,43.4,32.9,3.1,4.5,253.8,0.1,3.1,10.5,119.2,0,32.7
S13,Pregnant,45.4,6.5,0,34.6,106.8,4.4,15.6,94.9,0.5,0.4,39.2,3.7,3.2,1325,258.4,218.4,10.8,8.4,2.6,18.5,15.1,72.4,21,56.2,11.7,12.7,27.7,28.2,52.3,21.2,1285.3,1.3,7.2,8.9,49.2,40,1.9,1.4,927.3,105.7,0.6,0,0,59.5,34.6,80.2,46.1,6.3,0.4,10.3,,0.8,2.8,80.5,0.4,1.9,3.3,75.3,0,10.1
S14,Pregnant,84,9.8,1.2,385.5,255,7.1,33.3,223,1.4,0.6,149,9.7,8.2,3311.4,410.1,185.2,23.2,68,3.3,82,43.2,185,67.4,112.1,51.8,42.7,65.1,62.2,218,66.1,2448.8,18.2,3.8,10.9,129.7,83.9,5.3,6.3,1365.2,224.5,1.8,18.6,1.5,365.3,96.3,231.9,104.2,14.4,0.2,37.1,37.6,2.9,4.9,193,0,4.6,8.3,115.7,0,32.3
S15,Not_Pregnant,109.6,25.1,9,605.6,164.1,24.4,53.2,216.1,2,0.3,168.6,7,8.8,3966.2,533.1,116.8,27,76.4,4.8,71.3,40.7,173.2,59.2,58.7,45.1,46.1,63.4,30,133.4,87.4,2178.6,5.8,13,25,111.8,95.2,2.8,5.8,1967.4,619.3,1.7,16.1,1.4,132.2,78.4,53.3,84.4,16.4,0.2,34.4,55.7,4.1,3.4,166.6,0,17,15,119.6,12.8,182.7
S16,Pregnant,69.7,8.1,0.3,328.8,199.2,8.7,42.7,158.2,1,0.4,109.6,7.5,7.7,2669.6,383.8,153,22.7,44,3.7,15.9,34.3,165.4,57.6,79.6,39.4,31.1,55,68.4,151.6,63,1344,9,7.6,9.6,79.3,56.7,2.2,3.6,1101,195.1,0.3,0,0,148,68.7,189.9,86.5,11.9,0.2,35.3,29.9,2.4,4.5,146.5,0,3.8,7.6,123.1,0,26.8
S17,Not_Pregnant,158.9,54.8,52.1,1520.7,352.3,73.1,31.7,363.6,3.4,0.7,621.2,0,17.8,4448.4,401.8,240.5,65.2,177.2,7.7,128.6,59.2,204.6,77.7,136,74,32.1,106,83.5,260.6,86.8,2398.1,9.2,24.4,33.5,146.2,90.2,2.9,95.8,1990.2,1311.2,6.2,35,2.5,178.5,124.2,505.3,128.9,14.1,1.9,55.7,79.2,7.8,0,257.3,0,64.1,63.4,225.9,110.2,107.8
S18,Pregnant,166.8,9.5,7.9,93.9,480.9,12.5,39.4,414.6,1.3,3,164.1,13.4,7.1,4222,740.6,262.7,21.6,91.3,7.9,81.4,47.5,262.6,81.3,119.9,47.2,54.7,81.2,81.5,215.5,108.8,4749.3,4.2,10.7,22.4,57.9,150.6,19.7,6.9,3859,320.7,1.8,25.6,0,249.4,136,271.4,133.5,14.9,1.2,47.9,7.2,0.8,4.9,217.4,0.1,7.2,10.6,120.7,0,27.6
S19,Not_Pregnant,94.9,43.9,23.7,745.6,226,24.1,26.5,145.6,1.7,0.5,247.3,6.3,247.5,2707.2,285.6,170,90.7,70.7,5.4,64.4,23.8,91.5,48.1,47.8,32.1,19.9,32.7,43.2,63.7,50.8,1143.4,18.9,11.6,19.4,27.4,38.5,3.3,33.5,1355,522.8,4.2,11.6,2.7,97.9,141.4,321.4,44.4,9.1,0.7,27.9,54.1,3.4,6.3,103.3,0,24,30.6,118,57.6,72.7
S20,Pregnant,106.9,18.8,5.4,178.4,361.5,16.7,52,256.9,1.1,1.2,195.6,12.4,9.1,5547.5,610.2,258.7,24.2,86.5,7,80.8,47.3,332.9,77.4,131.4,39.5,61.7,92.9,88.1,204,70.8,3998.6,13.1,0,18.7,165.7,129.6,2.4,5.4,3377.3,429.9,1.9,0,2.2,191.2,124.4,265.6,168.1,11.7,1.9,50.2,15,3.8,6.1,276.7,0,5.3,17.9,144.7,0,32.7
S21,Not_Pregnant,118,70.2,65.8,1522.2,272.2,157.6,16.7,235.8,4.3,0.5,476.2,7,211,3462.7,479.5,89.3,45.1,97.7,6.5,80.9,45,138.6,44.4,46.4,48.2,27.8,74.5,59.4,142.2,78.3,2046.6,4.5,16.7,30.8,108.4,70.9,1.7,88.1,1671,1776.6,2.9,0,2.1,114.7,92.2,174.6,97.6,8.3,1.1,33.7,51.4,3.4,7.5,172.4,0.7,45.1,44.2,154.5,63.7,138.4
S22,Not_Pregnant,145.7,80.3,7.3,518.9,363.1,13.1,35.8,232.7,1.3,0.6,115.7,6.5,11.4,4268.4,478.8,153.7,25.7,125.6,7,68.2,34.8,184.9,66.1,142,51.6,63.5,53.5,122.5,201.1,80,2270.4,16.4,13.9,21,133.1,90.6,2.3,4.8,1658.4,686.9,1.1,18.5,0.8,204.8,77.5,273.2,80.5,11.4,1.5,34.7,32.7,3,3.1,163.8,1.3,12.6,12.5,123.2,6.3,73.1
S23,Not_Pregnant,60,61.9,4.6,294.4,121.6,10.5,18.4,85.8,1.4,0.2,96.8,2.3,5.9,1485.8,159.2,124.4,19,44.4,4.1,39.4,42.2,154.7,67.1,53.2,22.7,30.9,22.7,53.4,81.4,30.2,4550.3,1.1,5,16.5,42.9,99.3,1.6,2.8,1322.1,404.2,7.2,0,0.4,22.6,42.8,139.4,161.4,6.6,1.7,14.7,22.8,1.6,1.7,273.6,0.9,9.6,14.6,79.4,0,76.7
S24,Not_Pregnant,100,61.9,23.3,564.5,175.3,33,27.6,146.8,5,0.7,158.5,4.4,8.1,2637.6,174.5,135.3,32,90.3,5.4,46.2,37,198,88.4,42.7,27.1,98.8,63.8,71.7,115.1,0,7233.7,6.7,7.3,18.8,44.3,136.3,2.8,7.8,1662.1,587.4,8.9,0,0,106.9,66.8,201.4,133,7.9,1.9,35.2,42.3,1.7,2.5,226.9,0,11.9,21.7,106.2,20.4,72
S25,Pregnant,72.5,7,0,192.9,146.3,4.2,26,165.2,1.2,0.4,136.2,4.4,3.3,2928.1,458.4,165.8,21.5,58.7,5.4,50.7,26,149.4,42.5,58.8,28.6,39.7,35.1,64.1,125.6,13.7,2001.8,8.5,5.1,14.7,84.4,79.3,4.4,4.8,990.8,179.7,0.5,14,1,165.9,69.3,201.4,57.5,13.8,0.2,44.1,21,2.1,4,119.2,0,3,8.7,105.6,0,37.9
S26,Not_Pregnant,45.1,75.2,57.1,2139.8,382.2,112.1,18.9,300.3,3.3,1.4,527,14.5,365.6,4073.8,419.5,205.6,62.3,132.5,7.5,86.4,39.9,127.5,93.9,87,45.9,21.6,62.4,54.8,166,73.4,1690.6,8.9,0,56.4,26.9,61.9,5.1,88.3,1564.6,1762.2,4,21.4,3,160.3,119.9,510.9,75.4,17.1,1.3,39.2,74.5,7.8,11.3,170.3,0,69.1,34.9,223.7,134.7,126.8
S27,Pregnant,38.4,3.9,0,122.8,92,1.5,22.8,88.1,0.9,0.3,91.3,2.4,12.7,1441.5,255.4,149.6,14.1,17.5,2.4,27.6,17.2,91.3,38.8,71.2,24.1,4.9,27,33.3,102.3,28,1694.5,4,3.7,5,46,39.8,2.4,1.7,764.3,96.5,0,0,0,128.6,44.1,98.3,38.9,6.2,0.2,14.4,17.2,1.1,2.9,77.9,0.3,1.8,4.2,79.5,0,33.7
S28,Not_Pregnant,37.4,16.3,13.2,720.6,109,17.6,19.9,94.2,0.6,0.5,218.5,4.3,266.2,1594.9,205.1,171.4,47.6,99.7,13.7,49.4,18,87.9,34.9,62.4,19.4,17.5,32.2,30.9,68.9,20.1,1451.1,7.1,7.6,14.4,60.4,34.9,4.3,17.1,927.2,320.2,2.3,9.3,0,50.3,100.2,220.4,50.1,4.3,0.1,10.7,20.1,0.7,5.7,97.5,0.4,11.3,18.5,97.8,46,16.6
S29,Pregnant,21.5,7.1,0.7,28.6,114.1,5.7,20.9,106.6,0.6,0.7,51.3,3.1,4.9,1454.6,227.8,209.3,8.8,23.6,4.3,21.9,16.7,112.7,33.5,55.6,12.2,8.8,29.1,33.9,68.8,23.6,2149.6,0,8.7,4.9,30.5,63.1,2.1,1.5,994.1,114.4,0.5,0,0.8,42.7,38.3,109,51,3.5,0.4,11.7,,1.1,2.4,78.5,0.3,1.9,4.2,68.6,0,4.2
S30,Pregnant,50.4,3.7,0,33.7,187.4,3.9,12.3,124.9,0.7,0.3,58.1,5,5.3,1430.5,216.2,177.3,10.7,8.5,1.1,32.8,16.7,82.7,27.9,53.4,11.5,11.4,27.1,36,70.6,20.2,679.7,6.4,3.4,8.6,63.7,27.1,1.2,1.6,1108,117.1,0.3,0.2,0,62.4,41.1,104.1,48.7,8,0.3,26,2.6,1.8,3.7,85.6,0,1.7,4.1,102.8,0,7.6
S31,Not_Pregnant,72.3,7.6,0,353.1,140.4,9.3,26,174.7,2.4,0.6,161.8,4.5,13.4,3305.4,241.3,174.7,23.2,70.4,6.3,37.6,25.5,120.2,25.2,66.4,34,21.9,42.6,46.1,90.9,10.1,6167.5,7,9.1,14.2,96.8,108.6,2.7,10,1159.6,454.5,0.8,0,0,93.2,60,257.6,61.4,9.4,0.2,20.6,30.2,1.2,2.5,118.9,0,13.4,12.3,121.6,25.2,91.2
S32,Not_Pregnant,147.3,37.3,39,1132.3,158.7,68.2,31.8,242.2,2.3,0.3,351.9,7.3,550.4,3148.2,373.1,116.1,28.2,110.8,7.4,82.8,47.5,124.1,68.8,55.7,43.6,27.4,61.7,67.8,178.3,70.6,2407.7,12,12.7,34.3,193.4,69.2,3.4,62.7,2888.1,851.6,3.3,0,3.8,193.3,109.8,176.1,84.3,18.1,1.5,34.4,57.8,4.5,11.4,162.5,0.2,22.1,51.4,195.5,92.6,73.2
S33,Not_Pregnant,106.5,17.8,23.5,640.9,217.8,41.3,40.2,198.5,5.7,0.5,287.9,5.7,26.6,4461.7,556.1,126.2,34.5,117.3,7.5,85.5,46.7,240.4,93.1,0,66.4,30.6,82.8,87.9,183,110.2,2430.1,6,12.9,26.8,177.4,96.9,2.7,9.5,1303.4,994.5,1.7,0,0.7,161.6,85.2,275.6,120.1,11.4,0.9,47.4,51.5,5,4.3,221.2,0.1,23,29,140.9,24.4,91.3
S34,Pregnant,21.3,1.8,0,73.9,43.4,1.3,7.3,50,0.2,0.1,55.8,1.5,3.5,768.5,190.3,145.1,10.3,6.5,0.8,15.6,10.3,43.1,16,52.4,5.3,0,13.9,14.2,40.3,18.2,518.6,0,1.8,5.7,22.9,21.3,1.1,1.3,430.2,41.8,0.3,0,0,23.4,25.4,54.5,20.1,2.2,0,0,6,0.6,2.4,40.5,0,1.1,2.1,63.7,0,7.3
S35,Pregnant,23.3,7.4,0.1,39.8,86.9,4.7,7.1,116.1,0.7,1.3,35.6,2.5,5.7,1222.1,272,213.8,14.1,19,2.4,19.4,14.2,73.4,31.5,48,15.9,1.2,29.7,17.1,39.9,22.6,546.7,0,4.4,6.2,45.4,33.8,0.5,2.2,596.4,116.9,1.7,0,0,0,35.6,60.4,41.8,4.4,0.7,16.7,,1.1,3.6,93.2,0,3.4,4.9,85.7,0.3,8.5
S36,Not_Pregnant,90.3,41.9,31.8,945.9,200,33.4,12.6,175,1.9,0.7,319.6,6.1,791,1856.1,234.4,162.8,40.9,68,4.6,59.4,22,70.9,34.2,32.8,28.4,7.7,29.6,33.1,84.7,15.8,1117.3,3,9.2,31.7,63.8,38.7,4.9,44.9,991.3,725.1,2.7,11.5,3.6,57.1,56.8,312.6,36,7.6,0,19.3,31.3,2.1,11.6,92.4,0,29.9,35.9,147.9,84.6,34.5
S37,Not_Pregnant,84.7,11.1,10.6,474.3,190.1,10.9,31.5,177.5,1.5,0.8,266.9,5.2,12,3162.5,354.8,120,23,75,2.4,53.4,25.5,99.1,44.6,68.5,36.5,24,43,51.1,81.2,17.9,1002.5,7.7,8.9,16.7,74.9,39.5,3.4,9.2,1530.1,318.1,2.4,0,1.4,120,75.6,117.7,61.8,7.8,0.5,22.3,42.5,2.5,0,123.6,0,13.4,10.2,107.2,35.6,58.4
S38,Not_Pregnant,126.5,6.4,14.8,411.2,253.8,12,42.6,234.3,2.2,0.9,208.9,6.2,8.2,3584.4,575.9,132.6,28.6,59.8,3.4,51,30.7,154.8,66.9,119.8,39.8,32.2,49,55.9,113.6,106.7,2250,18.9,7.9,15.2,127.1,86.5,1.9,5,1726.8,327.8,1.5,0,0.5,84.2,86.5,216,82.6,10.9,0.1,28.3,56.9,3.3,3,175.5,0.4,10.8,11.5,120.3,8.1,98
S39,Not_Pregnant,73.6,61.5,18.7,499.2,137.2,18.7,20.4,141.8,1.7,0.5,107.8,3.3,8.7,2054.4,459.5,148.1,18,68.8,2,50.5,28,142.4,59.4,85.5,39.5,12.8,42.8,61.7,121.5,78.6,906,17.4,12.2,8.3,99.7,30.9,1.8,5,813.2,437,0.6,13.9,0.4,86.3,49.3,239.7,65.1,5.5,0.3,23.4,42.1,2.6,2.3,126.7,0.1,12.5,10.3,98.5,9.1,64.8
S40,Not_Pregnant,120,24.4,4.2,433.6,142.1,24.8,34.1,211.4,2,1,177.3,9.2,13.6,3293.4,422.9,107,30.4,82.4,5.9,80.3,36.6,137.2,82.3,85.9,38.7,26.9,46.4,63.1,151.4,88.8,3532.4,17,10.6,13.8,130.1,68.9,2.6,4.8,1515.6,570.4,0.9,14.3,0.9,167.9,75.4,207.5,68.8,9,1.2,30.4,51.8,3.9,3.3,139.5,1,14.3,12.5,130,9.5,68.2
S41,Not_Pregnant,119.7,50,14.3,484.3,202.5,33.8,34.5,184.5,1.5,0.2,72.9,6,15.8,4695.6,376.8,111,30.1,80.6,4.5,58.4,33.8,139.1,51.8,75.1,29.7,53.4,55.5,45.3,134.1,15.6,2063.9,14.2,7.8,21.4,125.9,82.7,2.9,4.3,1585.9,587.2,1.2,18.5,1.4,134.6,78.7,59.2,87.2,13.3,0.3,23.7,46.4,2.5,6.8,185.5,0,17.3,16.4,277.4,11.1,112.9
S42,Pregnant,90.3,0.4,0,153.6,186.2,10.6,23.2,156.8,0.8,0.4,124.3,5.2,7.8,2456.8,395.7,239.9,46.4,31.6,2.7,48.7,35,134.3,58.7,95.7,32.1,28.6,69,52.5,155.1,80,1165.1,19.5,6.3,11.3,135.5,37.8,2.6,1.9,1378,232.3,5.4,0,7.6,130.1,70.1,175.8,131.8,10.9,0.2,30.8,13.5,2,3.6,244,0.7,2.8,10.4,98.9,12.5,15.7
S43,Pregnant,68.1,16,0,276.8,206.2,7.5,32.8,148.7,1.5,0.3,110.9,6.4,5.9,2911.1,511.1,198.5,25.6,77.7,15.6,73.2,30.6,170.8,80.5,135.8,43.5,24.5,57.2,51.3,195.8,18,2183.6,0,4.8,10.7,104.8,70.1,3.6,3.1,859,176.9,1.3,18.6,0.8,188.3,67.7,204.2,98.4,12.4,0,50.8,15.6,1.6,4.3,202.3,0.5,2.9,10.9,90.5,0,45.1
S44,Not_Pregnant,72.1,19.4,25.6,885.9,116,23.7,23.5,117.9,3.1,0.2,235.7,3.3,39.9,2665.8,280.5,141,29.7,38.2,4.5,45.7,28.5,88,41.7,55.2,29.6,4.2,30.8,39.4,94.9,10.9,2088.4,12.2,9,25.7,86.3,77.2,2.3,36.7,1354,641.3,1.2,0,0.7,101.1,68,210,38.6,4.5,1.3,19.7,51.1,5.2,3.5,89,0,17.1,28.6,126.6,34.6,92.1
S45,Pregnant,48.2,1.4,0.1,172.7,111.5,4.2,19.7,129.2,1.2,0.3,122.8,3.8,9.1,1946.7,351.5,179.2,18.4,46.2,9.5,38.3,24.9,119.5,37.6,56.4,33.5,16.3,40.4,29,133.2,52.4,2412.2,10.7,3.8,9.7,26.6,52,3.5,3.4,1183.2,119.2,1,0,0.5,110.1,60.5,139.1,63.8,10,0.1,20.2,18.7,1.6,8.1,118.4,0.6,4,6.2,221.2,0,32.1
S46,Pregnant,64.8,12.3,11.8,579.9,186.3,9.3,40.1,184.3,1.4,0.5,202,6.7,11.3,3601.6,553.6,151.5,27.2,123.8,3.3,92,41.1,281.6,109.6,124,73,45.7,80,19.3,194.1,110.2,2492.8,7.6,7.3,13,143.4,65.7,3.3,5.8,1138.6,359,1.8,21.1,1.1,148.2,86.2,464.2,118.6,14.6,0.1,42.3,39,1.3,5.2,226.5,0.2,8.2,9.6,127.1,0,39.2